r,theta,n,s,psi,eigenvalue
0.05,0.0,0.0,0.0,0.22377981427402402,1.5318096764997318
0.05,0.1282282715750936,0.0,0.0,0.2576599887461064,1.5318096764997318
0.05,0.2564565431501872,0.0,0.0,0.25241431357468735,1.5318096764997318
0.05,0.38468481472528077,0.0,0.0,0.22434742499969829,1.5318096764997318
0.05,0.5129130863003744,0.0,0.0,0.24642514571168456,1.5318096764997318
0.05,0.6411413578754679,0.0,0.0,0.23060506423679147,1.5318096764997318
0.05,0.7693696294505615,0.0,0.0,0.2407582619211485,1.5318096764997318
0.05,0.8975979010256552,0.0,0.0,0.2362559824699349,1.5318096764997318
0.05,1.0258261726007487,0.0,0.0,0.23570422729678212,1.5318096764997318
0.05,1.1540544441758422,0.0,0.0,0.24192905200746298,1.5318096764997318
0.05,1.2822827157509358,0.0,0.0,0.22674897126363186,1.5318096764997318
0.05,1.4105109873260295,0.0,0.0,0.23284303921530222,1.5318096764997318
0.05,1.538739258901123,0.0,0.0,0.23813692215285343,1.5318096764997318
0.05,1.6669675304762166,0.0,0.0,0.2502854253111261,1.5318096764997318
0.05,1.7951958020513104,0.0,0.0,0.2482067753471293,1.5318096764997318
0.05,1.9234240736264039,0.0,0.0,0.24603409261835293,1.5318096764997318
0.05,2.0516523452014974,0.0,0.0,0.22429888303719345,1.5318096764997318
0.05,2.179880616776591,0.0,0.0,0.24868079114786162,1.5318096764997318
0.05,2.3081088883516845,0.0,0.0,0.24531535516678624,1.5318096764997318
0.05,2.436337159926778,0.0,0.0,0.24232601160537312,1.5318096764997318
0.05,2.5645654315018716,0.0,0.0,0.23088646334843926,1.5318096764997318
0.05,2.6927937030769655,0.0,0.0,0.24964235597186454,1.5318096764997318
0.05,2.821021974652059,0.0,0.0,0.24669219471151493,1.5318096764997318
0.05,2.9492502462271526,0.0,0.0,0.24713876313757072,1.5318096764997318
0.05,3.077478517802246,0.0,0.0,0.2325934681072639,1.5318096764997318
0.05,3.2057067893773397,0.0,0.0,0.25907251259344194,1.5318096764997318
0.05,3.333935060952433,0.0,0.0,0.23710867931389715,1.5318096764997318
0.05,3.4621633325275267,0.0,0.0,0.24304955607172155,1.5318096764997318
0.05,3.5903916041026207,0.0,0.0,0.2476900322554678,1.5318096764997318
0.05,3.7186198756777142,0.0,0.0,0.23578273539697453,1.5318096764997318
0.05,3.8468481472528078,0.0,0.0,0.2317755393542067,1.5318096764997318
0.05,3.9750764188279013,0.0,0.0,0.2468035389966517,1.5318096764997318
0.05,4.103304690402995,0.0,0.0,0.22106933180764507,1.5318096764997318
0.05,4.231532961978089,0.0,0.0,0.24043637397038434,1.5318096764997318
0.05,4.359761233553182,0.0,0.0,0.24513290008780145,1.5318096764997318
0.05,4.487989505128276,0.0,0.0,0.2523153508905729,1.5318096764997318
0.05,4.616217776703369,0.0,0.0,0.24105832460376522,1.5318096764997318
0.05,4.744446048278463,0.0,0.0,0.24098624424629503,1.5318096764997318
0.05,4.872674319853556,0.0,0.0,0.24810111906812285,1.5318096764997318
0.05,5.00090259142865,0.0,0.0,0.23712987946068037,1.5318096764997318
0.05,5.129130863003743,0.0,0.0,0.22924977329436474,1.5318096764997318
0.05,5.257359134578837,0.0,0.0,0.2461321268401346,1.5318096764997318
0.05,5.385587406153931,0.0,0.0,0.23659952368153359,1.5318096764997318
0.05,5.513815677729024,0.0,0.0,0.2387968523332454,1.5318096764997318
0.05,5.642043949304118,0.0,0.0,0.24685483045311496,1.5318096764997318
0.05,5.770272220879211,0.0,0.0,0.24039525685800472,1.5318096764997318
0.05,5.898500492454305,0.0,0.0,0.2441059955255348,1.5318096764997318
0.05,6.026728764029398,0.0,0.0,0.2451106511866533,1.5318096764997318
0.05,6.154957035604492,0.0,0.0,0.24605597510972127,1.5318096764997318
0.05,6.283185307179586,0.0,0.0,0.23856109078568857,1.5318096764997318
0.1,0.0,0.0,0.0,0.23240910668502457,1.5318096764997318
0.1,0.1282282715750936,0.0,0.0,0.22914254634796621,1.5318096764997318
0.1,0.2564565431501872,0.0,0.0,0.22490697475322355,1.5318096764997318
0.1,0.38468481472528077,0.0,0.0,0.2503701094764462,1.5318096764997318
0.1,0.5129130863003744,0.0,0.0,0.24202736512721695,1.5318096764997318
0.1,0.6411413578754679,0.0,0.0,0.2448902232133158,1.5318096764997318
0.1,0.7693696294505615,0.0,0.0,0.23058145037889596,1.5318096764997318
0.1,0.8975979010256552,0.0,0.0,0.2546696546550656,1.5318096764997318
0.1,1.0258261726007487,0.0,0.0,0.23412811902402383,1.5318096764997318
0.1,1.1540544441758422,0.0,0.0,0.2525534422919702,1.5318096764997318
0.1,1.2822827157509358,0.0,0.0,0.24020889048690847,1.5318096764997318
0.1,1.4105109873260295,0.0,0.0,0.23074634512497857,1.5318096764997318
0.1,1.538739258901123,0.0,0.0,0.22685742044533827,1.5318096764997318
0.1,1.6669675304762166,0.0,0.0,0.24045429115581138,1.5318096764997318
0.1,1.7951958020513104,0.0,0.0,0.23508128463123795,1.5318096764997318
0.1,1.9234240736264039,0.0,0.0,0.2387432520132218,1.5318096764997318
0.1,2.0516523452014974,0.0,0.0,0.25189751044505265,1.5318096764997318
0.1,2.179880616776591,0.0,0.0,0.2436099004890672,1.5318096764997318
0.1,2.3081088883516845,0.0,0.0,0.2416903567365689,1.5318096764997318
0.1,2.436337159926778,0.0,0.0,0.24602316087177917,1.5318096764997318
0.1,2.5645654315018716,0.0,0.0,0.2487736011506075,1.5318096764997318
0.1,2.6927937030769655,0.0,0.0,0.24368017557031516,1.5318096764997318
0.1,2.821021974652059,0.0,0.0,0.23352764694678654,1.5318096764997318
0.1,2.9492502462271526,0.0,0.0,0.22924658380932839,1.5318096764997318
0.1,3.077478517802246,0.0,0.0,0.23395652080802212,1.5318096764997318
0.1,3.2057067893773397,0.0,0.0,0.23897655824859448,1.5318096764997318
0.1,3.333935060952433,0.0,0.0,0.23723599650173338,1.5318096764997318
0.1,3.4621633325275267,0.0,0.0,0.24257970983916843,1.5318096764997318
0.1,3.5903916041026207,0.0,0.0,0.21872500912665915,1.5318096764997318
0.1,3.7186198756777142,0.0,0.0,0.22805317868956487,1.5318096764997318
0.1,3.8468481472528078,0.0,0.0,0.2513736455659706,1.5318096764997318
